module_code,xbrl_schema_ref,from_date,to_date,version
COREP_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2013-12-01/mod/corep_con.json,01-Dec-13,29-Sep-14,2.0.1
COREP_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2013-12-01/mod/corep_ind.json,01-Dec-13,29-Sep-14,2.0.1
COREP_LCR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2013-12-01/mod/corep_lcr_con.json,01-Dec-13,29-Sep-14,2.0.1
COREP_LCR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2013-12-01/mod/corep_lcr_ind.json,01-Dec-13,29-Sep-14,2.0.1
COREP_LE_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2013-12-01/mod/corep_le_con.json,01-Dec-13,29-Sep-14,2.0.1
COREP_LE_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2013-12-01/mod/corep_le_ind.json,01-Dec-13,29-Sep-14,2.0.1
COREP_NSFR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2013-12-01/mod/corep_nsfr_con.json,01-Dec-13,29-Sep-14,2.0.1
COREP_NSFR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2013-12-01/mod/corep_nsfr_ind.json,01-Dec-13,29-Sep-14,2.0.1
FINREP_Con_GAAP,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/its-2013-02/2013-12-01/mod/finrep_con_gaap.json,01-Dec-13,29-Sep-14,2.0.1
FINREP_Con_IFRS,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/its-2013-02/2013-12-01/mod/finrep_con_ifrs.json,01-Dec-13,29-Sep-14,2.0.1
AE_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/ae/its-2013-04/2014-03-31/mod/ae_con.json,30-Sep-14,30-Dec-14,1.0.0
AE_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/ae/its-2013-04/2014-03-31/mod/ae_ind.json,30-Sep-14,30-Dec-14,1.0.0
COREP_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2014-03-31/mod/corep_con.json,30-Sep-14,30-Dec-14,2.0.2
COREP_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2014-03-31/mod/corep_ind.json,30-Sep-14,30-Dec-14,2.0.2
COREP_LCR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2014-03-31/mod/corep_lcr_con.json,30-Sep-14,30-Dec-14,2.0.2
COREP_LCR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2014-03-31/mod/corep_lcr_ind.json,30-Sep-14,30-Dec-14,2.0.2
COREP_LE_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2014-03-31/mod/corep_le_con.json,30-Sep-14,30-Dec-14,2.0.2
COREP_LE_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2014-03-31/mod/corep_le_ind.json,30-Sep-14,30-Dec-14,2.0.2
COREP_NSFR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2014-03-31/mod/corep_nsfr_con.json,30-Sep-14,30-Dec-14,2.0.2
COREP_NSFR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2014-03-31/mod/corep_nsfr_ind.json,30-Sep-14,30-Dec-14,2.0.2
FINREP_Con_GAAP,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/its-2013-03/2014-03-31/mod/finrep_con_gaap.json,30-Sep-14,30-Dec-14,2.1.0
FINREP_Con_IFRS,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/its-2013-03/2014-03-31/mod/finrep_con_ifrs.json,30-Sep-14,30-Dec-14,2.1.0
COREP_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-2013-02/2014-07-31/mod/corep_con.json,31-Dec-14,29-Jun-15,2.0.3
